OrderID,Date,Product Name,Quantity,Price
63,03/05/23,Headphones,1,150.00
64,2023-03-06,Printer,2,250.00
65,03-07-2023,Laptop,NULL,1200.00
66,2023/03/08,Cellphone,5,800.00
67,2023-03-09,Smartwatch,1,200.00
68,03/10/23,Laptop,3,1200.00
69,2023-03-11,Monitor,4,300.00
70,03-12-2023,Keyboard,5,75.00
71,2023/03/13,Mouse,2,25.00
72,2023-03-14,Laptop,6,1200.00
73,03/15/23,Cellphone,2,800.00
74,2023-03-16,Monitor,1,300.00
75,03-17-2023,Keybord,8,75.00
76,2023/03/18,Mouse,5,25.00
77,2023-03-19,Laptop,7,1200.00
78,03/20/23,Headphones,3,150.00
79,2023-03-21,Printer,1,250.00
80,03-22-2023,Laptop,4,1200.00
81,2023-04-01,Cellphone,3,800.00
82,04/02/23,Monitor,2,300.00
83,2023-04-03,Keyboard,6,75.00
84,04-04-2023,Mouse,4,25.00
85,2023/04/05,Laptop,5,1200.00
86,2023-04-06,Cellphone,2,800.00
87,2023-04-07,Lptop,3,1150.00
88,04/08/23,Monitor,1,310.00
89,2023-04-09,Keyboard,8,70.00
90,04-10-2023,Mouse,6,24.00
91,2023/04/11,Laptop,5,1200.00
92,2023-04-12,Headphones,2,150.00
93,2023-04-13,Printer,3,250.00
94,04-14-2023,Laptop,6,1200.00
95,2023/04/15,Cellphone,3,800.00
96,2023-04-16,Smartwatch,2,200.00
97,04/17/23,Laptop,4,1200.00
98,2023-04-18,Monitor,3,300.00
99,04-19-2023,Keyboard,7,75.00
100,2023/04/20,Mouse,4,25.00
101,2023-04-21,Laptop,5,1200.00
102,04/22/23,Cellphone,3,800.00
103,2023-04-23,Monitor,2,300.00
104,04-24-2023,Keyboard,10,75.00
105,2023/04/25,Mouse,8,25.00
106,2023-04-26,Laptop,NULL,1200.00
107,2023-04-27,Cellphone,5,800.00
108,04/28/23,Lptop,2,1150.00
109,2023-05-01,Monitor,NULL,310.00
110,05-02-2023,Keyboard,7,70.00
111,2023/05/03,Mouse,3,24.00
112,2023-05-04,Laptop,5,1200.00
113,05/05/23,Headphones,1,150.00
114,2023-05-06,Printer,2,250.00
115,05-07-2023,Laptop,NULL,1200.00
116,2023/05/08,Cellphone,5,800.00
117,2023-05-09,Smartwatch,1,200.00
118,05/10/23,Laptop,3,1200.00
119,2023-05-11,Monitor,4,300.00
120,05-12-2023,Keyboard,5,75.00
121,2023/05/13,Mouse,2,25.00
122,2023-05-14,Laptop,6,1200.00
123,05/15/23,Cellphone,2,800.00
124,2023-05-16,Monitor,1,300.00
125,05-17-2023,Keybord,8,75.00
126,2023/05/18,Mouse,5,25.00
127,2023-05-19,Laptop,7,1200.00
128,05/20/23,Headphones,3,150.00
129,2023-05-21,Printer,1,250.00
130,05-22-2023,Laptop,4,1200.00
131,2023-06-01,Cellphone,3,800.00
132,06/02/23,Monitor,2,300.00
133,2023-06-03,Keyboard,6,75.00
134,06-04-2023,Mouse,4,25.00
135,2023/06/05,Laptop,5,1200.00
136,2023-06-06,Cellphone,2,800.00
137,2023-06-07,Lptop,3,1150.00
138,06/08/23,Monitor,1,310.00
139,2023-06-09,Keyboard,8,70.00
140,06-10-2023,Mouse,6,24.00
141,2023/06/11,Laptop,5,1200.00
142,2023-06-12,Headphones,2,150.00
143,2023-06-13,Printer,3,250.00
144,06-14-2023,Laptop,6,1200.00
145,2023/06/15,Cellphone,3,800.00
146,2023-06-16,Smartwatch,2,200.00
147,06/17/23,Laptop,4,1200.00
148,2023-06-18,Monitor,3,300.00
149,06-19-2023,Keyboard,7,75.00
150,2023/06/20,Mouse,4,25.00
151,2023-06-21,Laptop,5,1200.00
152,06/22/23,Cellphone,3,800.00
153,2023-06-23,Monitor,2,300.00
154,06-24-2023,Keyboard,10,75.00
155,2023/06/25,Mouse,8,25.00
156,2023-06-26,Laptop,NULL,1200.00
157,2023-06-27,Cellphone,5,800.00
158,06/28/23,Lptop,2,1150.00
159,2023-07-01,Monitor,NULL,310.00
160,07-02-2023,Keyboard,7,70.00
161,2023/07/03,Mouse,3,24.00
162,2023-07-04,Laptop,5,1200.00
163,07/05/23,Headphones,1,150.00
164,2023-07-06,Printer,2,250.00
165,07-07-2023,Laptop,NULL,1200.00
166,2023/07/08,Cellphone,5,800.00
167,2023-07-09,Smartwatch,1,200.00
168,07/10/23,Laptop,3,1200.00
169,2023-07-11,Monitor,4,300.00
170,07-12-2023,Keyboard,5,75.00
171,2023/07/13,Mouse,2,25.00
172,2023-07-14,Laptop,6,1200.00
173,07/15/23,Cellphone,2,800.00
174,2023-07-16,Monitor,1,300.00
175,07-17-2023,Keybord,8,75.00
176,2023/07/18,Mouse,5,25.00
177,2023-07-19,Laptop,7,1200.00
178,07/20/23,Headphones,3,150.00
179,2023-07-21,Printer,1,250.00
180,07-22-2023,Laptop,4,1200.00
181,2023-07-23,Cellphone,3,800.00
182,07/24/23,Monitor,2,300.00
183,2023-07-25,Keyboard,6,75.00
184,07-26-2023,Mouse,4,25.00
185,2023/07/27,Laptop,5,1200.00
186,2023-07-28,Cellphone,2,800.00
187,2023-07-29,Lptop,3,1150.00
188,07/30/23,Monitor,1,310.00
189,2023-07-31,Keyboard,8,70.00
190,08-01-2023,Mouse,6,24.00
191,2023/08/02,Laptop,5,1200.00
192,2023-08-03,Headphones,2,150.00
193,2023-08-04,Printer,3,250.00
194,08-05-2023,Laptop,6,1200.00
195,2023/08/06,Cellphone,3,800.00
196,2023-08-07,Smartwatch,2,200.00
197,08/08/23,Laptop,4,1200.00
198,2023-08-09,Monitor,3,300.00
199,08-10-2023,Keyboard,7,75.00
200,2023/08/11,Mouse,4,25.00
